Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2023,2023-01-01,08005,Residencial,De 06:00:00 a 11:59:59 h,26582
2023,2023-01-01,08005,Residencial,De 12:00:00 a 17:59:59 h,38249
2023,2023-01-01,08005,Residencial,De 18:00:00 a 23:59:59 h,42113
2023,2023-01-01,08005,Residencial,No consta,4856
2023,2023-01-01,08005,Serveis,De 00:00:00 a 05:59:59 h,77453
2023,2023-01-01,08005,Serveis,De 06:00:00 a 11:59:59 h,77338
2023,2023-01-01,08005,Serveis,De 12:00:00 a 17:59:59 h,78738
2023,2023-01-01,08005,Serveis,De 18:00:00 a 23:59:59 h,81802
2023,2023-01-01,08005,Serveis,No consta,1288
2023,2023-01-01,08006,Indústria,De 00:00:00 a 05:59:59 h,1064
2023,2023-01-01,08006,Indústria,De 06:00:00 a 11:59:59 h,1145
2023,2023-01-01,08006,Indústria,De 12:00:00 a 17:59:59 h,1199
2023,2023-01-01,08006,Indústria,De 18:00:00 a 23:59:59 h,1283
2023,2023-01-01,08006,Indústria,No consta,61
2023,2023-01-01,08006,No especificat,De 00:00:00 a 05:59:59 h,96
2023,2023-01-01,08006,No especificat,De 06:00:00 a 11:59:59 h,106
2023,2023-01-01,08006,No especificat,De 12:00:00 a 17:59:59 h,128
2023,2023-01-01,08006,No especificat,De 18:00:00 a 23:59:59 h,133
2023,2023-01-01,08006,No especificat,No consta,6
2023,2023-01-01,08006,Residencial,De 00:00:00 a 05:59:59 h,22661
2023,2023-01-01,08006,Residencial,De 06:00:00 a 11:59:59 h,23649
2023,2023-01-01,08006,Residencial,De 12:00:00 a 17:59:59 h,33861
2023,2023-01-01,08006,Residencial,De 18:00:00 a 23:59:59 h,37470
2023,2023-01-01,08006,Residencial,No consta,4747
2023,2023-01-01,08006,Serveis,De 00:00:00 a 05:59:59 h,24640
2023,2023-01-01,08006,Serveis,De 06:00:00 a 11:59:59 h,26651
2023,2023-01-01,08006,Serveis,De 12:00:00 a 17:59:59 h,28575
